"","group","Var1","Var2","r","adj.p","n","significant","label"
"148","HNSC","SBS4","Signature 3",0,0.0216628306321046,9,1,"HNSC 
 (n=9)"
"149","HNSC","SBS13","Signature 3",0.56,5.20916078076678e-15,180,1,"HNSC 
 (n=180)"
"150","HNSC","SBS15","Signature 3",0,1,1,NA,"HNSC 
 (n=1)"
"151","HNSC","SBS20","Signature 3",0,1,0,NA,"HNSC 
 (n=0)"
"152","HNSC","SBS44","Signature 3",0,1,1,NA,"HNSC 
 (n=1)"
"153","HNSC","SBS1","Signature 4",0.11,0.147452094338082,243,0,"HNSC 
 (n=243)"
"154","HNSC","SBS2","Signature 4",0.54,1.27833136560986e-14,182,1,"HNSC 
 (n=182)"
"155","HNSC","SBS3","Signature 4",0,1,0,NA,"HNSC 
 (n=0)"
"156","HNSC","SBS4","Signature 4",0,0.000849239323773893,9,1,"HNSC 
 (n=9)"
"157","HNSC","SBS13","Signature 4",0.53,4.67525032256612e-14,184,1,"HNSC 
 (n=184)"
"158","HNSC","SBS15","Signature 4",0,0.75,3,0,"HNSC 
 (n=3)"
"159","HNSC","SBS20","Signature 4",0,1,0,NA,"HNSC 
 (n=0)"
"160","HNSC","SBS44","Signature 4",0,1,1,NA,"HNSC 
 (n=1)"
"161","KIRC","SBS1","Signature 1",0.32,0.000327173544655128,172,1,"KIRC 
 (n=172)"
"162","KIRC","SBS2","Signature 1",0,1,2,NA,"KIRC 
 (n=2)"
"163","KIRC","SBS3","Signature 1",0,1,0,NA,"KIRC 
 (n=0)"
"164","KIRC","SBS4","Signature 1",0,1,0,NA,"KIRC 
 (n=0)"
"165","KIRC","SBS13","Signature 1",0,1,0,NA,"KIRC 
 (n=0)"
"166","KIRC","SBS15","Signature 1",0,0.900474846520431,7,0,"KIRC 
 (n=7)"
"167","KIRC","SBS20","Signature 1",0,0.769230769230769,3,0,"KIRC 
 (n=3)"
"168","KIRC","SBS44","Signature 1",0,1,0,NA,"KIRC 
 (n=0)"
"169","KIRC","SBS1","Signature 2",0.09,0.497215881217193,163,0,"KIRC 
 (n=163)"
"170","KIRC","SBS2","Signature 2",0,0.769230769230769,3,0,"KIRC 
 (n=3)"
"171","KIRC","SBS3","Signature 2",0,1,0,NA,"KIRC 
 (n=0)"
"172","KIRC","SBS4","Signature 2",0,1,0,NA,"KIRC 
 (n=0)"
"173","KIRC","SBS13","Signature 2",0,1,0,NA,"KIRC 
 (n=0)"
"174","KIRC","SBS15","Signature 2",0,0.63084692356266,7,0,"KIRC 
 (n=7)"
"175","KIRC","SBS20","Signature 2",0,1,3,0,"KIRC 
 (n=3)"
"176","KIRC","SBS44","Signature 2",0,1,0,NA,"KIRC 
 (n=0)"
"177","KIRC","SBS1","Signature 3",0.16,0.0805696686279228,198,0,"KIRC 
 (n=198)"
"178","KIRC","SBS2","Signature 3",0,0.769230769230769,3,0,"KIRC 
 (n=3)"
"179","KIRC","SBS3","Signature 3",0,1,0,NA,"KIRC 
 (n=0)"
"180","KIRC","SBS4","Signature 3",0,1,0,NA,"KIRC 
 (n=0)"
"181","KIRC","SBS13","Signature 3",0,1,0,NA,"KIRC 
 (n=0)"
"182","KIRC","SBS15","Signature 3",0,0.0317403417577847,8,1,"KIRC 
 (n=8)"
"183","KIRC","SBS20","Signature 3",0,0.128291754873715,4,0,"KIRC 
 (n=4)"
"184","KIRC","SBS44","Signature 3",0,1,1,NA,"KIRC 
 (n=1)"
"185","KIRC","SBS1","Signature 4",0.19,0.0317403417577847,205,1,"KIRC 
 (n=205)"
"186","KIRC","SBS2","Signature 4",0,0.769230769230769,3,0,"KIRC 
 (n=3)"
"187","KIRC","SBS3","Signature 4",0,1,0,NA,"KIRC 
 (n=0)"
"188","KIRC","SBS4","Signature 4",0,1,0,NA,"KIRC 
 (n=0)"
"189","KIRC","SBS13","Signature 4",0,1,0,NA,"KIRC 
 (n=0)"
"190","KIRC","SBS15","Signature 4",0,0.534091556263081,8,0,"KIRC 
 (n=8)"
"191","KIRC","SBS20","Signature 4",0,0.128291754873715,4,0,"KIRC 
 (n=4)"
"192","KIRC","SBS44","Signature 4",0,1,1,NA,"KIRC 
 (n=1)"
"193","KIRP","SBS1","Signature 1",0.18,0.395575615580051,65,0,"KIRP 
 (n=65)"
"194","KIRP","SBS2","Signature 1",0.18,0.395575615580051,48,0,"KIRP 
 (n=48)"
"195","KIRP","SBS3","Signature 1",0,0.688133966548215,5,0,"KIRP 
 (n=5)"
"196","KIRP","SBS4","Signature 1",0,1,0,NA,"KIRP 
 (n=0)"
"197","KIRP","SBS13","Signature 1",0,0.987163098630511,41,0,"KIRP 
 (n=41)"
"198","KIRP","SBS15","Signature 1",0,1,1,NA,"KIRP 
 (n=1)"
"199","KIRP","SBS20","Signature 1",0,1,1,NA,"KIRP 
 (n=1)"
"200","KIRP","SBS44","Signature 1",0,1,0,NA,"KIRP 
 (n=0)"
"201","KIRP","SBS1","Signature 2",0.27,0.395575615580051,50,0,"KIRP 
 (n=50)"
"202","KIRP","SBS2","Signature 2",0.13,0.688133966548215,34,0,"KIRP 
 (n=34)"
"203","KIRP","SBS3","Signature 2",0,1,0,NA,"KIRP 
 (n=0)"
"204","KIRP","SBS4","Signature 2",0,1,0,NA,"KIRP 
 (n=0)"
